HUGO_SYMBOL	Entrez_Gene_Id	Bill_Tumor
ALDH16A1	00000	12.57
ALDH18A1	00000	14.24
ALDH1A1	00000	151.35
ALDH1A2	00000	15.95
ALDH1A3	00000	18.43
ALDH1B1	00000	18.06
ALDH1L1	00000	54.18
ALDH1L2	00000	0.4
ALDH2	00000	105.79
ALDH3A1	00000	0.56
ALDH3A2	00000	63.24
ALDH3B1	00000	9.4
ALDH3B2	00000	1.8
ALDH4A1	00000	55.43
ALDH5A1	00000	11.63
ALDH6A1	00000	78.61
ALDH7A1	00000	61.12
ALDH8A1	00000	24.07
ALDH9A1	00000	46.76
ALDOA	00000	687.1
ALDOB	00000	878.08
ALDOC	00000	11.43
ALG1	00000	8.56
ALG10	00000	1.36
ALG10B	00000	1.79
ALG11	00000	4.19
ALG12	00000	10.25
ALG13	00000	14.65
ALG14	00000	1.7
ALG1L	00000	0.28
ALG2	00000	18.54
ALG3	00000	12.7
ALG5	00000	19.19
ALG6	00000	3.75
ALG8	00000	14.11
ALG9	00000	8.5
ALK	00000	0.01
ALKBH1	00000	4.04
ALKBH2	00000	8.81
ALKBH3	00000	12.81
ALKBH4	00000	7.86
ALKBH5	00000	40.45
ALKBH6	00000	9.92
ALKBH7	00000	35.1
ALKBH8	00000	2.6
ALLC	00000	0.71
ALMS1	00000	4.72
ALOX12	00000	0.34
ALOX12B	00000	0.11
ALOX15	00000	0.02
ALOX15B	00000	0.04
ALOX5	00000	4.19
ALOX5AP	00000	5.23
ALOXE3	00000	0.09
ALPI	00000	0.41
ALPK1	00000	5.1
ALPK2	00000	3.87
ALPK3	00000	4.01
ALPL	00000	24.14
ALPP	00000	0.05
ALPPL2	00000	0.01
ALS2	00000	6.2
ALS2CL	00000	16.36
ALS2CR11	00000	0.13
ALS2CR12	00000	0.57
ALX1	00000	5.65
ALX3	00000	0.02
ALX4	00000	0.14
ALYREF	00000	17.24
AMACR	00000	28.59
AMBP	00000	4.18
AMBRA1	00000	8.15
AMD1	00000	30.7
AMDHD1	00000	3.56
AMDHD2	00000	18.97
AMELX	00000	0.02
AMELY	00000	0.12
AMER1	00000	1.44
AMER2	00000	0.07
AMER3	00000	0
AMFR	00000	126.81
AMH	00000	0.52
AMHR2	00000	0.01
AMICA1	00000	2.98
AMIGO1	00000	4.82
AMIGO2	00000	8.36
AMIGO3	00000	1.19
AMMECR1	00000	2.96
AMMECR1L	00000	5.91
AMN	00000	59.43
AMN1	00000	7.2
AMOT	00000	7.27
AMOTL1	00000	4.3
AMOTL2	00000	28.47
AMPD1	00000	0.03
AMPD2	00000	32.14
AMPD3	00000	4.87
AMPH	00000	3.11
AMT	00000	28.86
AMTN	00000	0.04
AMY1A	00000	0
AMY1B	00000	0
AMY1C	00000	0
AMY2A	00000	0.07
AMY2B	00000	13.2
AMZ1	00000	0.2
AMZ2	00000	33.46
ANAPC1	00000	4.85
